Genre,Movie Name,Movie Year

Family,Haunted Mansion,2023
Family,Hocus Pocus,1993
Family,Casper,1995
Family,The Nightmare Before Christmas,1993
Family,Elemental,2023
Family,Spider-Man: Across the Spider-Verse,2023
Family,Wonka,2023
Family,Wish,2023
Family,The Little Mermaid,2023
Family,PAW Patrol: The Mighty Movie,2023
Family,Harry Potter and the Sorcerer's Stone,2001
Family,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023
Family,The Boy and the Heron,2023
Family,The Haunted Mansion,2003
Family,Trolls Band Together,2023
Family,The Super Mario Bros. Movie,2023
Family,Hocus Pocus 2,2022
Family,Coraline,2009
Family,Corpse Bride,2005
Family,Scooby-Doo,2002
Family,The Sandlot,1993
Family,Encanto,2021
Family,The Goonies,1985
Family,The Princess Bride,1987
Family,Spy Kids,2001
Family,Dark Shadows,2012
Family,Harry Potter and the Goblet of Fire,2005
Family,Snow White,2024
Family,Willy Wonka & the Chocolate Factory,1971
Family,E.T. the Extra-Terrestrial,1982
Family,The Lion King,1994
Family,Spider-Man: Into the Spider-Verse,2018
Family,"Are You There God? It's Me, Margaret.",2023
Family,Hotel Transylvania,2012
Family,Coco,2017
Family,Cars,2006
Family,Puss in Boots: The Last Wish,2022
Family,Harry Potter and the Prisoner of Azkaban,2004
Family,Charlie and the Chocolate Factory,2005
Family,The Little Rascals,1994
Family,Spirited Away,2001
Family,Harry Potter and the Deathly Hallows: Part 2,2011
Family,Harry Potter and the Chamber of Secrets,2002
Family,Home Alone,1990
Family,Chicken Run: Dawn of the Nugget,2023
Family,Tomorrowland,2015
Family,Ratatouille,2007
Family,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005
Family,Abbott and Costello Meet Frankenstein,1948
Family,Fantastic Mr. Fox,2009
Sci-Fi,The Creator,2023
Sci-Fi,Poor Things,2023
Sci-Fi,No One Will Save You,2023
Sci-Fi,Elemental,2023
Sci-Fi,Spider-Man: Across the Spider-Verse,2023
Sci-Fi,The Hunger Games: The Ballad of Songbirds and Snakes,2023
Sci-Fi,Awareness,2023
Sci-Fi,Meg 2: The Trench,2023
Sci-Fi,PAW Patrol: The Mighty Movie,2023
Sci-Fi,Iron Lung,
Sci-Fi,Guardians of the Galaxy Vol. 3,2023
Sci-Fi,Blue Beetle,2023
Sci-Fi,Dune,2021
Sci-Fi,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023
Sci-Fi,Ganapath,2023
Sci-Fi,Indiana Jones and the Dial of Destiny,2023
Sci-Fi,Interstellar,2014
Sci-Fi,Asteroid City,2023
Sci-Fi,The Thing,1982
Sci-Fi,Spider-Man: No Way Home,2021
Sci-Fi,The Flash,2023
Sci-Fi,The Hunger Games,2012
Sci-Fi,57 Seconds,2023
Sci-Fi,Alien: Romulus,2024
Sci-Fi,Everything Everywhere All at Once,2022
Sci-Fi,Dune: Part Two,2024
Sci-Fi,Inception,2010
Sci-Fi,Blade Runner 2049,2017
Sci-Fi,Gemini Man,2019
Sci-Fi,Alien,1979
Sci-Fi,Transformers: Rise of the Beasts,2023
Sci-Fi,Avatar: The Way of Water,2022
Sci-Fi,Donnie Darko,2001
Sci-Fi,Avengers: Endgame,2019
Sci-Fi,Ghostbusters,1984
Sci-Fi,The Mill,2023
Sci-Fi,M3GAN,2022
Sci-Fi,Tenet,2020
Sci-Fi,The Matrix,1999
Sci-Fi,Jurassic Park,1993
Sci-Fi,The Mist,2007
Sci-Fi,The Darkest Minds,2018
Sci-Fi,Nope,2022
Sci-Fi,Infinity Pool,2023
Sci-Fi,The Prestige,2006
Sci-Fi,If You Were the Last,2023
Sci-Fi,The Suicide Squad,2021
Sci-Fi,Spy Kids,2001
Sci-Fi,Foe,2023
Sci-Fi,Back to the Future,1985
News,Beyond Utopia,2023
News,Before the Flood,2016
News,An Inconvenient Truth,2006
News,While We Watched,2022
News,New York City... Melting Point,1966
News,A Storm Foretold,2023
News,Ukraine Is Not a Brothel,2013
News,"Food, Inc.",2008
News,American Radical: The Trials of Norman Finkelstein,2009
News,The Square,2013
News,A People Without a Land,2014
News,Born Into Brothels: Calcutta's Red Light Kids,2004
News,Requiem for the American Dream,2015
News,A Sexplanation,2021
News,Roadmap to Apartheid,2012
News,Four Horsemen,2012
News,Age of Consent,2014
News,Ola,2013
News,The Age of Stupid,2009
News,Budrus,2009
News,Cameraperson,2016
News,India's Daughter,2015
News,Honest Man: The Life of R. Budd Dwyer,2010
News,Racing Extinction,2015
News,The Lab,2013
News,The Real Anthony Fauci,2022
News,How to Survive a Plague,2012
News,Elemental,2012
News,No Safe Spaces,2019
News,The Mask You Live In,2015
News,The Chinese Mayor,2015
News,Korengal,2014
News,Y,2022
News,Money for Nothing: Inside the Federal Reserve,2013
News,Impact After the Crash,2013
News,The True Cost,2015
News,RiverBlue,2017
News,Terms and Conditions May Apply,2013
News,Alive Inside: A Story of Music and Memory,2014
News,The American Nurse,2014
News,This Is Not a Movie,2019
News,We Were Here,2011
News,Banking on Bitcoin,2016
News,Barolo Boys. The Story of a Revolution,2014
News,The Rise and Rise of Bitcoin,2014
News,Disneynature: Wings of Life,2011
News,Utopia,2013
News,The Culture High,2014
News,Propaganda,2012
News,Primary,1960
Biography,Ferrari,2023
Biography,Oppenheimer,2023
Biography,Napoleon,2023
Biography,Sound of Freedom,2023
Biography,The Iron Claw,2023
Biography,Dumb Money,2023
Biography,The Wolf of Wall Street,2013
Biography,Khufiya,2023
Biography,Priscilla,2023
Biography,A Million Miles Away,2023
Biography,Goodfellas,1990
Biography,Schindler's List,1993
Biography,The Irishman,2019
Biography,The Big Short,2015
Biography,Maestro,2023
Biography,The Boys in the Boat,2023
Biography,Mission Raniganj,2023
Biography,Golda,2023
Biography,Jeanne du Barry,2023
Biography,BlacKkKlansman,2018
Biography,A Beautiful Mind,2001
Biography,Nyad,2023
Biography,BlackBerry,2023
Biography,Hacksaw Ridge,2016
Biography,Catch Me If You Can,2002
Biography,Ford v Ferrari,2019
Biography,"Girl, Interrupted",1999
Biography,Legend,2015
Biography,The Greatest Showman,2017
Biography,Braveheart,1995
Biography,Into the Wild,2007
Biography,The Intouchables,2011
Biography,Green Book,2018
Biography,The Pianist,2002
Biography,The Social Network,2010
Biography,Elvis,2022
Biography,Tombstone,1993
Biography,Hamilton,2020
Biography,Bohemian Rhapsody,2018
Biography,Richard III,1955
Biography,The Promised Land,2023
Biography,Hidden Figures,2016
Biography,Remember the Titans,2000
Biography,The Imitation Game,2014
Biography,House of Gucci,2021
Biography,Bombshell,2019
Biography,American Sniper,2014
Biography,American Gangster,2007
Biography,Amadeus,1984
Biography,The King,2019
Music,Taylor Swift: The Eras Tour,2023
Music,Trolls Band Together,2023
Music,Priscilla,2023
Music,Flora and Son,2023
Music,Maestro,2023
Music,Whiplash,2014
Music,Coco,2017
Music,La La Land,2016
Music,Tár,2022
Music,Green Book,2018
Music,Almost Famous,2000
Music,The Pianist,2002
Music,Pitch Perfect,2012
Music,Elvis,2022
Music,Bohemian Rhapsody,2018
Music,The Munsters,2022
Music,Baby Driver,2017
Music,Trolls,2016
Music,Amadeus,1984
Music,School of Rock,2003
Music,8 Mile,2002
Music,CODA,2021
Music,Dirty Dancing,1987
Music,Tarzan,1999
Music,Green Room,2015
Music,The Wedding Singer,1998
Music,Purple Hearts,2022
Music,A Star Is Born,2018
Music,Stop Making Sense,1984
Music,9 Songs,2004
Music,Climax,2018
Music,Sound of Metal,2019
Music,Soul,2020
Music,The Blues Brothers,1980
Music,Weird: The Al Yankovic Story,2022
Music,Footloose,1984
Music,Rocketman,2019
Music,Flashdance,1983
Music,The Piano Teacher,2001
Music,Vengeance,2022
Music,Black Snake Moan,2006
Music,Prestij Meselesi,2023
Music,Roald Dahl's Matilda the Musical,2022
